city,year,land_type,aqi,green_cover_percent,water_quality_index,flood_risk_score,dist_expressway_km,dist_metro_railway_km,near_industrial_zone,avg_price_per_sqft
Sardhana,2020,Commercial,103,24.2,52.9,0.49,27.8,45.2,0,2361.76
Mawana,2015,Commercial,123,21.0,68.4,0.75,34.4,34.9,0,1610.05
Sardhana,2018,Agricultural,205,25.9,71.3,0.29,18.3,52.6,0,262.51
Pilkhuwa,2017,Mixed-use,191,12.8,46.1,0.2,26.5,23.2,0,1661.24
Modinagar,2015,Mixed-use,171,13.8,58.9,0.17,5.7,11.3,1,1685.66
Muradnagar,2017,Mixed-use,198,7.5,65.4,0.56,11.9,21.5,0,1797.63
Baghpat,2019,Mixed-use,115,24.5,59.3,0.74,20.3,39.4,0,1886.13
Meerut,2020,Residential,184,6.3,55.1,0.33,10.2,13.3,1,1806.56
Pilkhuwa,2023,Residential,169,12.1,60.9,0.32,15.1,7.9,0,1957.43
Ghaziabad,2021,Agricultural,224,7.2,52.3,0.33,0.5,0.5,0,682.52
Modinagar,2019,Mixed-use,164,14.1,68.6,0.53,5.6,15.5,0,2446.73
Ghaziabad,2022,Residential,177,1.0,44.5,0.11,0.5,0.5,1,3365.98
Modinagar,2015,Commercial,200,8.2,46.6,0.48,3.9,12.1,1,1882.04
Pilkhuwa,2015,Residential,137,17.9,66.6,0.12,19.4,23.4,0,1371.2
Ghaziabad,2016,Commercial,244,3.1,36.4,0.33,0.5,14.3,1,3488.54
Muradnagar,2020,Mixed-use,135,10.6,64.0,0.36,4.9,13.2,0,2462.51
Pilkhuwa,2022,Mixed-use,164,10.0,55.2,0.42,20.1,18.5,0,2071.07
Baghpat,2022,Agricultural,166,18.8,63.7,0.48,24.2,34.6,0,284.97
Modinagar,2019,Commercial,154,13.5,72.7,0.36,13.8,18.2,1,2758.97
Meerut,2025,Agricultural,198,10.4,49.7,0.16,0.5,8.9,1,503.72
Pilkhuwa,2019,Commercial,170,14.7,41.1,0.5,11.8,29.5,0,2224.18
Modinagar,2020,Commercial,190,9.0,53.6,0.34,19.0,14.7,0,2838.13
Mawana,2023,Agricultural,132,23.9,68.7,0.74,33.8,47.1,0,274.66
Mawana,2023,Mixed-use,144,26.9,61.1,0.58,33.2,31.8,0,1991.04
Pilkhuwa,2021,Mixed-use,169,8.9,53.9,0.36,21.0,43.7,0,1950.07
Mawana,2018,Agricultural,125,28.1,61.3,0.7,27.7,44.8,0,226.98
Hapur,2015,Agricultural,167,11.3,52.7,0.38,11.8,20.8,0,262.85
Sardhana,2015,Commercial,149,23.1,61.6,0.18,25.7,38.8,0,1702.37
Meerut,2022,Commercial,200,2.5,67.3,0.05,0.5,14.5,0,4656.27
Sardhana,2023,Agricultural,111,23.1,74.3,0.45,17.6,41.6,0,327.47
Muradnagar,2020,Mixed-use,151,9.4,51.5,0.32,18.2,0.5,0,2235.82
Ghaziabad,2020,Agricultural,233,6.7,58.9,0.32,0.5,4.2,0,701.01
Pilkhuwa,2022,Commercial,93,20.0,53.3,0.43,11.4,39.2,1,2986.73
Pilkhuwa,2024,Commercial,163,10.0,50.3,0.55,8.5,7.9,0,3164.08
Baghpat,2024,Mixed-use,160,23.5,70.1,0.72,22.1,30.7,0,2472.92
Hapur,2021,Agricultural,192,10.3,47.2,0.2,13.3,21.0,1,282.88
Khekra,2019,Agricultural,166,18.7,67.4,0.45,12.9,27.7,0,276.23
Baghpat,2023,Mixed-use,229,12.7,70.2,0.51,36.0,28.1,0,2063.19
Hapur,2021,Residential,167,11.1,63.4,0.28,15.9,15.9,0,1801.44
Modinagar,2019,Agricultural,141,15.7,57.9,0.47,14.9,2.4,0,384.57
Muradnagar,2020,Commercial,165,14.5,63.8,0.35,4.6,21.7,1,2480.42
Hapur,2015,Mixed-use,121,17.3,65.8,0.33,12.7,22.7,0,1801.08
Muradnagar,2016,Commercial,134,16.0,50.3,0.44,18.3,20.0,1,2087.4
Meerut,2024,Residential,211,8.1,58.1,0.48,0.5,8.3,0,2872.66
Baghpat,2023,Commercial,174,15.4,66.8,0.74,18.0,20.6,1,2296.75
Muradnagar,2024,Mixed-use,132,18.8,53.0,0.56,4.2,23.2,0,2756.12
Hapur,2024,Commercial,179,12.7,59.0,0.46,9.8,9.0,1,2785.54
Sardhana,2018,Commercial,132,21.0,71.2,0.26,33.1,32.4,0,2064.62
Meerut,2015,Residential,174,7.3,51.8,0.37,14.7,0.7,0,1802.67
Baghpat,2019,Mixed-use,200,23.0,61.3,0.55,18.9,45.1,0,1691.84
Pilkhuwa,2020,Residential,153,11.0,54.5,0.44,23.6,29.1,0,1610.49
Hapur,2021,Mixed-use,148,11.6,66.6,0.31,9.8,24.1,1,2050.42
Modinagar,2022,Residential,182,13.5,56.3,0.39,21.4,18.5,1,1878.02
Pilkhuwa,2019,Agricultural,166,15.3,67.8,0.63,17.3,32.1,0,296.1
Mawana,2020,Residential,98,23.0,49.6,0.88,25.1,38.9,0,1226.34
Hapur,2018,Residential,121,14.2,53.3,0.4,18.3,13.2,0,1514.24
Ghaziabad,2016,Agricultural,233,3.9,46.0,0.21,0.5,0.5,1,468.92
Ghaziabad,2023,Agricultural,205,5.1,47.1,0.21,2.2,22.1,0,812.2
Sardhana,2025,Mixed-use,154,26.3,73.2,0.56,18.2,36.6,0,2420.32
Pilkhuwa,2025,Agricultural,120,5.0,64.5,0.51,16.0,18.9,0,389.42
Sardhana,2025,Commercial,135,31.5,72.2,0.47,27.6,46.6,0,3329.97
Pilkhuwa,2018,Commercial,162,13.4,59.8,0.37,9.7,25.5,0,2229.9
Meerut,2025,Agricultural,226,10.7,42.7,0.16,7.5,1.9,0,582.84
Ghaziabad,2016,Commercial,188,6.4,53.3,0.17,10.0,13.3,0,4459.51
Muradnagar,2018,Agricultural,162,11.1,52.1,0.44,24.2,14.9,0,307.28
Pilkhuwa,2021,Agricultural,111,13.9,47.9,0.44,10.1,25.5,1,284.24
Sardhana,2017,Commercial,133,17.9,77.1,0.27,22.3,46.7,0,1993.23
Meerut,2024,Residential,173,5.4,70.9,0.24,0.5,4.4,0,3486.61
Sardhana,2015,Commercial,133,19.3,69.2,0.3,25.1,47.2,0,1631.24
Meerut,2022,Commercial,140,6.0,61.4,0.48,9.6,15.4,1,3865.68
Pilkhuwa,2022,Agricultural,192,18.4,48.2,0.31,13.5,26.5,0,337.62
Sardhana,2020,Residential,84,25.1,70.8,0.46,26.9,42.0,0,1671.07
Hapur,2021,Agricultural,207,6.0,65.8,0.28,9.9,14.5,0,338.97
Modinagar,2018,Commercial,185,12.7,63.3,0.52,3.5,12.0,1,2538.48
Pilkhuwa,2024,Commercial,120,16.3,70.7,0.45,11.9,20.9,0,3561.97
Khekra,2023,Agricultural,129,21.6,57.6,0.63,21.0,34.5,0,310.86
Modinagar,2022,Agricultural,183,11.1,66.1,0.42,9.9,10.9,0,414.43
Hapur,2017,Commercial,173,10.6,61.9,0.43,18.4,25.8,0,2170.7
Ghaziabad,2018,Agricultural,200,1.9,50.9,0.26,6.4,4.9,1,539.57
Mawana,2021,Agricultural,154,29.4,58.1,0.7,44.6,32.0,0,259.6
Hapur,2015,Mixed-use,185,12.5,67.1,0.54,9.1,15.4,1,1311.61
Sardhana,2025,Commercial,140,20.3,60.5,0.75,26.1,37.0,0,2716.47
Hapur,2021,Mixed-use,179,14.6,65.9,0.3,0.5,26.9,1,2028.01
Hapur,2019,Agricultural,155,18.4,65.9,0.33,11.1,28.8,0,351.39
Pilkhuwa,2017,Commercial,174,11.0,61.4,0.31,14.8,11.5,1,1841.06
Baghpat,2020,Agricultural,126,21.3,79.2,0.69,3.2,28.0,0,299.51
Hapur,2021,Mixed-use,223,17.5,59.1,0.34,12.4,16.7,1,1840.09
Sardhana,2021,Residential,195,20.8,65.7,0.43,35.5,56.6,0,1388.12
Khekra,2022,Mixed-use,227,18.3,57.3,0.51,8.4,22.7,0,1861.23
Meerut,2025,Mixed-use,209,8.7,42.3,0.37,0.5,6.5,1,3241.63
Khekra,2015,Mixed-use,131,22.4,51.5,0.63,14.7,38.9,0,1388.86
Baghpat,2015,Agricultural,103,22.9,65.2,0.64,28.1,41.9,1,221.82
Ghaziabad,2019,Residential,279,4.7,61.4,0.17,0.6,0.5,1,2924.93
Modinagar,2016,Agricultural,156,17.9,47.8,0.43,11.6,33.3,1,286.98
Sardhana,2024,Mixed-use,144,25.2,68.2,0.31,37.8,28.2,0,2527.58
Sardhana,2015,Commercial,50,27.4,59.7,0.46,26.0,38.5,0,1785.2
Ghaziabad,2017,Residential,179,4.6,58.9,0.09,0.5,6.7,1,2654.53
Baghpat,2022,Agricultural,156,17.5,47.6,0.51,28.5,24.2,1,280.64
Mawana,2023,Agricultural,160,19.7,76.2,0.82,28.5,38.5,0,268.17
Pilkhuwa,2015,Residential,172,10.7,64.4,0.34,14.9,17.9,1,1127.92
Hapur,2023,Mixed-use,176,10.0,71.1,0.63,13.3,10.5,0,2488.73
Pilkhuwa,2015,Mixed-use,204,16.6,72.5,0.46,12.0,30.9,0,1502.47
Hapur,2016,Mixed-use,147,14.3,76.9,0.64,15.5,29.6,1,1493.96
Sardhana,2021,Mixed-use,127,24.9,63.2,0.42,34.9,48.7,0,2006.8
Hapur,2021,Residential,210,10.9,50.4,0.27,19.9,34.7,1,1378.04
Muradnagar,2020,Commercial,185,10.9,41.1,0.38,3.4,27.3,0,2546.85
Baghpat,2023,Residential,136,23.1,74.1,0.53,8.6,34.9,0,1990.65
Modinagar,2023,Commercial,200,15.3,62.1,0.61,0.5,19.2,0,3741.44
Meerut,2019,Commercial,201,15.7,61.0,0.19,24.3,0.5,0,3880.53
Khekra,2018,Commercial,131,14.4,50.0,0.66,20.6,6.7,1,1629.24
Sardhana,2019,Agricultural,169,19.3,56.0,0.19,29.4,38.0,0,251.12
Mawana,2025,Residential,124,17.2,66.9,0.75,35.9,51.6,0,1583.13
Muradnagar,2015,Residential,144,14.1,66.2,0.5,0.5,13.8,1,1267.34
Muradnagar,2024,Residential,163,13.9,53.1,0.33,4.9,36.8,1,1972.71
Mawana,2018,Agricultural,139,20.7,72.0,0.65,37.5,59.4,0,231.04
Sardhana,2024,Mixed-use,172,27.4,66.5,0.31,21.8,46.6,0,2196.05
Pilkhuwa,2018,Mixed-use,154,21.5,61.3,0.27,26.5,10.4,0,1970.71
Khekra,2021,Residential,163,21.2,60.1,0.53,12.3,42.3,0,1498.33
Mawana,2023,Mixed-use,160,22.0,64.9,0.76,39.6,50.5,0,1748.55
Khekra,2018,Mixed-use,120,16.3,53.7,0.76,9.4,5.7,0,1612.95
Muradnagar,2017,Mixed-use,217,17.1,43.1,0.27,9.8,9.9,1,1634.04
Meerut,2021,Agricultural,213,5.7,52.0,0.27,4.7,8.6,1,415.23
Baghpat,2017,Agricultural,117,27.7,65.8,0.63,21.3,29.5,1,264.46
Meerut,2015,Agricultural,189,4.1,68.2,0.27,1.0,6.6,0,394.3
Muradnagar,2016,Agricultural,193,15.3,45.0,0.17,12.9,18.0,0,298.47
Ghaziabad,2015,Commercial,223,13.5,39.9,0.27,0.5,0.5,1,3557.79
Ghaziabad,2020,Residential,244,9.3,54.1,0.14,1.6,6.8,0,3534.75
Khekra,2017,Residential,145,14.7,62.9,0.62,14.5,55.0,0,1171.37
Mawana,2022,Mixed-use,123,19.3,68.0,0.57,37.0,39.0,0,1925.82
Khekra,2024,Commercial,186,15.1,48.0,0.77,19.7,30.3,0,2332.95
Modinagar,2018,Mixed-use,168,17.9,43.2,0.16,12.8,12.7,0,2430.55
Hapur,2019,Residential,190,18.9,54.0,0.52,17.0,27.2,0,1606.19
Baghpat,2017,Residential,92,21.4,79.2,0.66,34.0,51.0,1,1233.22
Modinagar,2021,Commercial,201,13.2,68.6,0.52,9.2,19.6,0,3027.59
Hapur,2022,Commercial,204,7.2,52.4,0.19,14.9,27.6,1,2387.94
Hapur,2020,Agricultural,99,11.2,47.5,0.18,10.2,7.8,0,347.22
Muradnagar,2020,Agricultural,153,16.4,58.2,0.47,12.5,10.2,1,313.8
Mawana,2021,Commercial,161,27.4,63.7,0.54,32.4,38.9,0,2134.47
Modinagar,2025,Commercial,209,6.3,62.4,0.27,0.5,19.1,1,3523.92
Baghpat,2022,Mixed-use,147,20.6,77.2,0.51,27.8,26.7,0,2361.48
Ghaziabad,2019,Commercial,245,1.0,49.2,0.55,0.5,9.9,1,3744.92
Hapur,2024,Agricultural,138,12.5,61.7,0.24,8.1,12.5,1,363.56
Ghaziabad,2019,Commercial,209,1.0,63.0,0.34,7.7,0.5,1,4425.2
Pilkhuwa,2023,Mixed-use,116,12.7,55.4,0.42,7.8,19.1,0,2498.24
Pilkhuwa,2019,Agricultural,129,6.5,80.9,0.47,18.9,19.0,1,260.68
Mawana,2023,Agricultural,98,22.2,69.1,0.84,32.5,48.1,1,241.67
Meerut,2025,Residential,214,6.3,56.7,0.43,1.2,4.8,1,2560.74
Hapur,2024,Mixed-use,165,13.8,51.7,0.38,26.5,37.0,0,2594.0
Sardhana,2022,Agricultural,183,16.8,73.2,0.35,29.2,43.0,0,287.04
Ghaziabad,2015,Residential,249,4.3,53.5,0.32,6.9,0.5,1,1985.23
Hapur,2024,Agricultural,176,11.2,62.8,0.32,17.7,38.6,1,318.14
Hapur,2015,Agricultural,122,10.9,58.8,0.38,8.5,23.6,0,288.42
Modinagar,2018,Mixed-use,184,10.7,59.8,0.55,8.5,0.5,1,1945.19
Pilkhuwa,2015,Residential,216,7.9,51.5,0.36,5.4,20.3,0,1038.88
Muradnagar,2017,Residential,193,9.7,55.7,0.42,10.3,31.0,0,1485.65
Modinagar,2018,Residential,241,12.0,48.3,0.24,17.2,9.1,0,1479.41
Ghaziabad,2020,Residential,162,7.1,51.4,0.26,10.0,9.3,0,3649.58
Pilkhuwa,2019,Commercial,118,21.1,50.1,0.29,11.6,30.3,1,2366.67
Baghpat,2021,Mixed-use,120,13.0,64.7,0.55,26.4,36.5,0,1962.17
Hapur,2018,Residential,196,18.9,44.2,0.53,9.5,26.9,0,1456.03
Mawana,2015,Residential,169,19.9,61.9,0.78,19.8,42.1,0,884.16
Mawana,2016,Mixed-use,143,25.4,42.4,0.79,29.8,38.4,0,1209.97
Ghaziabad,2024,Agricultural,193,10.7,57.8,0.29,0.5,0.5,1,786.45
Pilkhuwa,2016,Commercial,173,19.1,54.9,0.29,13.2,7.9,0,2212.56
Pilkhuwa,2018,Residential,187,7.2,62.9,0.55,6.5,19.7,0,1303.03
Hapur,2022,Mixed-use,199,20.6,69.7,0.3,8.0,41.2,1,2119.51
Sardhana,2022,Commercial,144,25.5,67.4,0.31,32.4,43.7,0,2731.59
Muradnagar,2024,Residential,163,10.6,53.7,0.39,11.9,12.0,1,1945.48
Modinagar,2023,Residential,182,10.8,63.7,0.28,0.5,7.6,1,2246.65
Modinagar,2016,Agricultural,144,10.3,59.9,0.33,16.6,1.6,1,310.08
Modinagar,2018,Residential,184,10.2,61.9,0.22,2.7,21.7,1,1635.39
Sardhana,2015,Agricultural,116,24.5,69.5,0.42,30.4,41.7,0,247.41
Modinagar,2024,Commercial,113,10.0,42.0,0.41,0.5,0.5,0,4568.66
Modinagar,2024,Mixed-use,185,13.8,71.1,0.27,12.7,20.5,1,2756.56
Pilkhuwa,2016,Commercial,169,6.8,61.8,0.4,15.7,18.5,0,1881.03
Ghaziabad,2021,Agricultural,202,7.3,54.7,0.4,0.5,0.5,0,768.07
Ghaziabad,2019,Agricultural,218,8.6,47.0,0.5,0.5,9.7,1,531.61
Sardhana,2019,Commercial,159,19.0,61.1,0.36,41.0,50.9,0,2019.01
Pilkhuwa,2021,Mixed-use,173,16.3,75.5,0.33,7.5,26.3,0,2315.91
Mawana,2017,Residential,144,19.8,60.2,0.58,12.7,47.0,0,1142.29
Hapur,2016,Residential,182,15.0,34.1,0.35,9.6,37.6,0,1216.13
Hapur,2015,Residential,171,20.9,55.4,0.41,0.5,38.9,0,1283.76
Pilkhuwa,2022,Agricultural,183,17.9,61.2,0.28,18.0,14.7,0,360.4
Baghpat,2021,Residential,184,16.3,69.4,0.72,28.0,49.7,0,1456.02
Modinagar,2018,Commercial,130,13.0,48.1,0.3,15.0,1.6,1,2585.35
Muradnagar,2016,Residential,147,8.6,75.9,0.31,12.3,14.2,1,1228.03
Modinagar,2025,Mixed-use,141,12.8,60.5,0.39,20.2,14.7,1,3072.17
Sardhana,2025,Agricultural,117,15.0,66.7,0.61,24.5,44.5,1,295.29
Ghaziabad,2015,Mixed-use,233,11.2,32.3,0.42,0.5,7.0,1,2640.15
Muradnagar,2017,Mixed-use,167,11.5,57.2,0.26,7.2,29.3,1,1600.32
Khekra,2019,Mixed-use,162,18.1,56.7,0.69,17.9,21.8,1,1501.89
Muradnagar,2016,Agricultural,189,4.9,47.1,0.24,15.4,9.5,1,233.67
Modinagar,2015,Residential,221,12.8,44.1,0.35,11.3,21.0,1,1118.62
Ghaziabad,2021,Agricultural,206,5.2,51.3,0.19,0.5,1.4,1,639.64
Meerut,2024,Mixed-use,177,14.3,45.0,0.32,5.0,7.0,0,4012.45
Mawana,2021,Commercial,146,22.1,74.0,0.82,37.2,57.6,0,2060.42
Mawana,2024,Commercial,193,33.3,69.3,0.6,33.5,28.2,1,2414.82
Pilkhuwa,2019,Commercial,181,19.3,63.8,0.3,11.1,23.6,0,2738.73
Khekra,2022,Commercial,236,10.4,69.8,0.43,25.5,20.1,0,2273.82
Khekra,2017,Residential,166,14.6,58.8,0.68,34.9,26.7,0,1044.83
Mawana,2022,Residential,141,22.6,70.9,0.77,30.8,41.5,0,1354.79
Pilkhuwa,2023,Agricultural,183,15.2,62.3,0.43,8.7,20.6,0,326.25
Hapur,2024,Agricultural,187,10.5,35.4,0.46,12.3,24.9,0,330.74
Modinagar,2019,Commercial,168,10.2,47.4,0.3,3.0,7.5,0,2857.22
Baghpat,2015,Commercial,131,24.4,89.6,0.66,15.0,26.0,0,2002.83
Mawana,2023,Agricultural,110,20.4,75.7,0.86,29.5,48.7,1,249.51
Modinagar,2019,Agricultural,206,6.3,53.3,0.5,10.6,6.5,0,311.4
Hapur,2017,Commercial,182,13.9,52.0,0.35,6.0,36.0,0,2124.4
Hapur,2021,Commercial,206,16.2,57.3,0.47,6.7,23.3,0,2558.93
Pilkhuwa,2018,Agricultural,137,10.7,52.9,0.34,15.5,26.5,0,309.38
Modinagar,2018,Commercial,209,10.4,60.1,0.25,5.1,13.6,1,2386.86
Modinagar,2019,Mixed-use,120,8.6,41.0,0.44,0.5,22.3,1,2039.73
Baghpat,2023,Agricultural,121,19.1,77.9,0.6,23.6,26.2,1,313.55
